step,epoch,train_loss,train_acc,train_path_loss,train_path_acc,timestamp,timestamp_fmt,duration,duration_fmt,dur_total_core,dur_train_core,dur_dl_train,val_loss,val_acc
1,1,4.603448163604736,0.0114,mean: 4.725241941905021,mean: 0.009875000000000005,1748898817.862733,2025/06/03 06:13:37,3.8278706073760986,3.8s,3.2242915630340576,3.224458694458008,0.06298446655273438,,
2,2,4.591520590209961,0.0258,mean: 4.707018829953672,mean: 0.010518749999999997,1748898821.2339678,2025/06/03 06:13:41,7.199105501174927,7.2s,6.167039632797241,6.167314767837524,0.1237485408782959,,
3,3,4.576736352539062,0.032,mean: 4.6906816576361665,mean: 0.010850000000000002,1748898824.6350358,2025/06/03 06:13:44,10.600173473358154,10.6s,9.140069961547852,9.140452146530151,0.18401718139648438,,
4,4,4.557921208953857,0.0364,mean: 4.679308126246928,mean: 0.011828124999999998,1748898830.2191484,2025/06/03 06:13:50,16.18428611755371,16.2s,14.051408529281616,12.144404649734497,0.24295330047607422,4.536752966308594,0.037
5,5,4.532864820098877,0.0376,mean: 4.670463188803197,mean: 0.012534374999999999,1748898833.7163632,2025/06/03 06:13:53,19.681500911712646,19.7s,17.01577615737915,15.108883142471313,0.30369114875793457,,
6,6,4.504934719085694,0.0424,mean: 4.672671504056454,mean: 0.013278125000000002,1748898837.115949,2025/06/03 06:13:57,23.0810866355896,23.1s,19.989534854888916,18.082751989364624,0.36234545707702637,,
7,7,4.478047229003907,0.0466,mean: 4.684905838626622,mean: 0.013859374999999997,1748898840.563062,2025/06/03 06:14:00,26.528199672698975,26.5s,23.005671739578247,21.099005460739136,0.42077136039733887,,
8,8,4.451383401489258,0.0494,mean: 4.700823873686789,mean: 0.014015625,1748898846.033063,2025/06/03 06:14:06,31.99820065498352,32.0s,27.813697814941406,24.01974654197693,0.48056602478027344,4.43009856262207,0.0508
9,9,4.426327517700195,0.0512,mean: 4.713190795052051,mean: 0.014937500000000001,1748898849.458563,2025/06/03 06:14:09,35.42370080947876,35.4s,30.697498321533203,26.903661012649536,0.541445255279541,,
10,10,4.4032451461791995,0.0554,mean: 4.730566495156289,mean: 0.015493749999999997,1748898852.790861,2025/06/03 06:14:12,38.755998611450195,38.8s,33.59968686103821,29.805961847305298,0.6002285480499268,,
11,11,4.383991545104981,0.0544,mean: 4.749357541668418,mean: 0.015603124999999997,1748898856.08766,2025/06/03 06:14:16,42.05279779434204,42.1s,36.46869206428528,32.67509484291077,0.6597270965576172,,
12,12,4.366264985656739,0.057,mean: 4.772232056915761,mean: 0.016146874999999998,1748898861.6608622,2025/06/03 06:14:21,47.62599992752075,47.6s,41.37886834144592,35.59415006637573,0.7183506488800049,4.352318531799316,0.0551
13,13,4.34896050491333,0.0572,mean: 4.7862321125030505,mean: 0.016200000000000006,1748898865.2524986,2025/06/03 06:14:25,51.21763634681702,51.2s,44.422626972198486,38.63802146911621,0.7781264781951904,,
14,14,4.32983339920044,0.0622,mean: 4.804251547300816,mean: 0.0166375,1748898868.6540072,2025/06/03 06:14:28,54.619144916534424,54.6s,47.39867568016052,41.614179849624634,0.8373990058898926,,
15,15,4.3166872505187985,0.0638,mean: 4.819953837418555,mean: 0.016928125000000002,1748898872.0296707,2025/06/03 06:14:32,57.99480843544006,58.0s,50.34008288383484,44.555699825286865,0.8983917236328125,,
16,16,4.30065940246582,0.0678,mean: 4.834084133231641,mean: 0.01715625,1748898877.7725744,2025/06/03 06:14:37,63.737712144851685,1.1m,55.40891885757446,47.621315002441406,0.9581890106201172,4.307172817230224,0.0655
17,17,4.285452266693115,0.0704,mean: 4.851934244227409,mean: 0.01729375,1748898881.2317286,2025/06/03 06:14:41,67.19686627388,1.1m,58.32596755027771,50.538471937179565,1.0175087451934814,,
18,18,4.271500705718994,0.0746,mean: 4.866462144029141,mean: 0.01727812499999999,1748898884.5554729,2025/06/03 06:14:44,70.52061057090759,1.2m,61.226104497909546,53.43872117996216,1.0767171382904053,,
19,19,4.257042280578613,0.0778,mean: 4.888478593921663,mean: 0.017237500000000006,1748898887.9034698,2025/06/03 06:14:47,73.86860752105713,1.2m,64.14536452293396,56.35809373855591,1.1357958316802979,,
20,20,4.247312142181396,0.0768,mean: 4.911044316637516,mean: 0.017468749999999995,1748898893.398542,2025/06/03 06:14:53,79.36367964744568,1.3m,68.97891092300415,59.341426372528076,1.1994349956512451,4.240260545349121,0.0758
21,21,4.23126484375,0.08,mean: 4.925748135995866,mean: 0.017553125,1748898896.8703418,2025/06/03 06:14:56,82.83547949790955,1.4m,71.90526700019836,62.26789617538452,1.2589993476867676,,
22,22,4.219399109649658,0.0832,mean: 4.948152313190697,mean: 0.017631249999999998,1748898900.181204,2025/06/03 06:15:00,86.1463418006897,1.4m,74.78913879394531,65.15189242362976,1.3195719718933105,,
23,23,4.201555704498291,0.0882,mean: 4.961595301932096,mean: 0.017750000000000005,1748898903.5258617,2025/06/03 06:15:03,89.49099946022034,1.5m,77.7076632976532,68.07054114341736,1.3793072700500488,,
24,24,4.192356517028808,0.0882,mean: 4.998647974860667,mean: 0.017678124999999996,1748898909.023127,2025/06/03 06:15:09,94.98826479911804,1.6m,82.5401132106781,71.01232361793518,1.4390287399291992,4.213437187957764,0.0851
25,25,4.179787142181397,0.0888,mean: 5.017910980772972,mean: 0.017787500000000005,1748898912.5245466,2025/06/03 06:15:12,98.48968434333801,1.6m,85.49197101593018,73.96429681777954,1.4987590312957764,,
26,26,4.17305209197998,0.0898,mean: 5.056160747373105,mean: 0.017881250000000008,1748898915.9528701,2025/06/03 06:15:15,101.91800785064697,1.7m,88.4850115776062,76.95745539665222,1.5596668720245361,,
27,27,4.15608737487793,0.0942,mean: 5.060991138291359,mean: 0.017934375000000002,1748898919.3578396,2025/06/03 06:15:19,105.32297730445862,1.8m,91.45148801803589,79.92404580116272,1.6220698356628418,,
28,28,4.143890404510498,0.093,mean: 5.084274566745758,mean: 0.018028125,1748898924.8521762,2025/06/03 06:15:24,110.81731390953064,1.8m,96.28029489517212,82.86995029449463,1.6809484958648682,4.197715555572509,0.0923
29,29,4.130494314575195,0.0972,mean: 5.109436507570743,mean: 0.0179375,1748898928.2997367,2025/06/03 06:15:28,114.26487445831299,1.9m,99.17655682563782,85.76632690429688,1.743053674697876,,
30,30,4.116386122894287,0.1002,mean: 5.128932856088875,mean: 0.018096875000000002,1748898931.6217272,2025/06/03 06:15:31,117.5868649482727,2.0m,102.06568431854248,88.65556311607361,1.8017635345458984,,
31,31,4.108945166015625,0.1012,mean: 5.168859227967262,mean: 0.018043749999999997,1748898935.085464,2025/06/03 06:15:35,121.05060172080994,2.0m,105.08950400352478,91.67948389053345,1.8619019985198975,,
32,32,4.0948926513671875,0.1054,mean: 5.183392169177531,mean: 0.018046875000000007,1748898940.7290537,2025/06/03 06:15:40,126.69419145584106,2.1m,110.05548000335693,94.67807722091675,1.922123670578003,4.121430364227295,0.0882
33,33,4.0917811233520505,0.1022,mean: 5.220004195600748,mean: 0.018034375000000005,1748898944.1533122,2025/06/03 06:15:44,130.11844992637634,2.2m,112.92742848396301,97.55013799667358,1.9816572666168213,,
34,34,4.069720576477051,0.1084,mean: 5.231568838751317,mean: 0.017981250000000004,1748898947.468141,2025/06/03 06:15:47,133.433278799057,2.2m,115.81617999076843,100.43899703025818,2.043322801589966,,
35,35,4.055696846008301,0.1084,mean: 5.251485255563261,mean: 0.017937499999999995,1748898950.8538632,2025/06/03 06:15:50,136.81900095939636,2.3m,118.76951456069946,103.39244556427002,2.1038665771484375,,
36,36,4.044040716552734,0.1136,mean: 5.2624895314931885,mean: 0.017953124999999997,1748898956.376513,2025/06/03 06:15:56,142.341650724411,2.4m,123.6334457397461,106.37202787399292,2.1620447635650635,4.044483598327637,0.0948
37,37,4.037016776657104,0.1144,mean: 5.298518327349425,mean: 0.018215625,1748898959.8266356,2025/06/03 06:15:59,145.79177331924438,2.4m,126.53377532958984,109.27246832847595,2.2213752269744873,,
38,38,4.031020928955078,0.1152,mean: 5.334540486514567,mean: 0.018146875000000003,1748898963.1529593,2025/06/03 06:16:03,149.11809706687927,2.5m,129.43095207214355,112.16975474357605,2.281546115875244,,
39,39,4.010876677703857,0.1178,mean: 5.353077732050417,mean: 0.018246874999999996,1748898966.5102005,2025/06/03 06:16:06,152.4753382205963,2.5m,132.3640809059143,115.10298943519592,2.340261697769165,,
40,40,4.002897386169433,0.125,mean: 5.371204456186294,mean: 0.018237500000000004,1748898971.9757247,2025/06/03 06:16:11,157.94086241722107,2.6m,137.16932344436646,118.0294759273529,2.4011447429656982,4.032526181030273,0.1055
41,41,3.989981984710693,0.1226,mean: 5.384975066852569,mean: 0.018415625000000005,1748898975.4733636,2025/06/03 06:16:15,161.43850135803223,2.7m,140.11700248718262,120.97726893424988,2.4607837200164795,,
42,42,3.987822294616699,0.122,mean: 5.408372025310994,mean: 0.018275000000000003,1748898978.8567653,2025/06/03 06:16:18,164.8219029903412,2.7m,143.07216572761536,123.93254446983337,2.5199475288391113,,
43,43,3.9861472457885743,0.1276,mean: 5.450618921601771,mean: 0.01806875,1748898982.2044284,2025/06/03 06:16:22,168.16956615447998,2.8m,145.99109268188477,126.85158061981201,2.5812108516693115,,
44,44,3.9760742637634277,0.1258,mean: 5.469344697225095,mean: 0.01796874999999999,1748898987.6477804,2025/06/03 06:16:27,173.61291813850403,2.9m,150.7749366760254,129.72871804237366,2.640308141708374,3.984511959838867,0.1126
45,45,3.960741963195801,0.137,mean: 5.480272197520735,mean: 0.018071874999999998,1748898991.1509893,2025/06/03 06:16:31,177.11612701416016,3.0m,153.71767139434814,132.6715657711029,2.7016549110412598,,
46,46,3.952108871459961,0.1354,mean: 5.499769766032696,mean: 0.018325,1748898994.4703612,2025/06/03 06:16:34,180.4354989528656,3.0m,156.6075222492218,135.5615315437317,2.7640302181243896,,
47,47,3.9458630516052247,0.1376,mean: 5.544656706506014,mean: 0.018306249999999996,1748898997.8069642,2025/06/03 06:16:37,183.77210187911987,3.1m,159.51588034629822,138.46999979019165,2.824610471725464,,
48,48,3.9428989234924314,0.1294,mean: 5.563318815547226,mean: 0.018409374999999995,1748899003.323239,2025/06/03 06:16:43,189.2883768081665,3.2m,164.36682724952698,141.39411854743958,2.886307716369629,3.974645553970337,0.1148
49,49,3.9259138793945314,0.1354,mean: 5.573510620915891,mean: 0.018240625,1748899006.8440454,2025/06/03 06:16:46,192.80918312072754,3.2m,167.33590936660767,144.3633108139038,2.946516275405884,,
50,50,3.920161706161499,0.1374,mean: 5.6070288077235215,mean: 0.018290625,1748899010.2037234,2025/06/03 06:16:50,196.16886115074158,3.3m,170.2681770324707,147.29569172859192,3.006026268005371,,
51,51,3.90375253944397,0.1394,mean: 5.618622610151768,mean: 0.018384374999999998,1748899013.531709,2025/06/03 06:16:53,199.4968466758728,3.3m,173.16897702217102,150.19660091400146,3.0670249462127686,,
52,52,3.901563843536377,0.1402,mean: 5.6287652209758745,mean: 0.018421874999999997,1748899019.0330596,2025/06/03 06:16:59,204.9981973171234,3.4m,178.0107307434082,153.15510988235474,3.125988721847534,3.9621718658447267,0.1166
53,53,3.8928835811614992,0.1432,mean: 5.67065456599593,mean: 0.018287499999999998,1748899022.5048776,2025/06/03 06:17:02,208.4700152873993,3.5m,180.92821645736694,156.07271599769592,3.1844723224639893,,
54,54,3.888925178527832,0.1466,mean: 5.693058859860898,mean: 0.01830625,1748899025.8744195,2025/06/03 06:17:05,211.83955717086792,3.5m,183.86717653274536,159.01178789138794,3.243786334991455,,
55,55,3.8809215003967283,0.1522,mean: 5.713840425789356,mean: 0.01835625,1748899029.253556,2025/06/03 06:17:09,215.21869373321533,3.6m,186.81160855293274,161.95632767677307,3.307875394821167,,
56,56,3.8677677101135255,0.146,mean: 5.736347672379017,mean: 0.018465624999999992,1748899034.7802594,2025/06/03 06:17:14,220.74539709091187,3.7m,191.67533493041992,164.97419381141663,3.3667984008789062,3.9772351329803466,0.1034
57,57,3.8595399787902833,0.15,mean: 5.75894618192911,mean: 0.018406249999999996,1748899038.2849803,2025/06/03 06:17:18,224.25011801719666,3.7m,194.62730765342712,167.92627716064453,3.4257850646972656,,
58,58,3.862211824798584,0.1548,mean: 5.808936245477199,mean: 0.018681250000000003,1748899041.6859858,2025/06/03 06:17:21,227.65112352371216,3.8m,197.60171627998352,170.90079522132874,3.4844748973846436,,
59,59,3.8651899600982667,0.1546,mean: 5.857385810995101,mean: 0.018509374999999998,1748899045.0802116,2025/06/03 06:17:25,231.04534935951233,3.9m,200.5622158050537,173.86140847206116,3.5465404987335205,,
60,60,3.8472659034729,0.1542,mean: 5.858188534259797,mean: 0.018771875000000004,1748899050.679863,2025/06/03 06:17:30,236.64500069618225,3.9m,205.4853720664978,176.803884267807,3.6070821285247803,3.8894918685913087,0.1241
61,61,3.843102657699585,0.1604,mean: 5.8810254775166495,mean: 0.018678125000000004,1748899054.2565978,2025/06/03 06:17:34,240.2217354774475,4.0m,208.5038275718689,179.8224503993988,3.666736602783203,,
62,62,3.827816565704346,0.1562,mean: 5.891248671293257,mean: 0.018599999999999988,1748899057.694071,2025/06/03 06:17:37,243.65920877456665,4.1m,211.51108932495117,182.829824924469,3.725602865219116,,
63,63,3.8343056526184083,0.1522,mean: 5.943078233873844,mean: 0.018453125,1748899061.1169264,2025/06/03 06:17:41,247.08206415176392,4.1m,214.495911359787,185.81476140022278,3.789344072341919,,
64,64,3.816690035247803,0.1574,mean: 5.963060885536671,mean: 0.0188875,1748899066.6129315,2025/06/03 06:17:46,252.5780692100525,4.2m,219.32211804389954,188.77338242530823,3.84954571723938,3.8374628120422365,0.123
65,65,3.8078652099609376,0.1654,mean: 5.9753506057024,mean: 0.018646874999999993,1748899070.0931938,2025/06/03 06:17:50,256.058331489563,4.3m,222.2430934906006,191.69446921348572,3.908162832260132,,
66,66,3.7983773788452146,0.164,mean: 5.987744420778751,mean: 0.018631249999999995,1748899073.4303808,2025/06/03 06:17:53,259.39551854133606,4.3m,225.15420937538147,194.6056990623474,3.967184066772461,,
67,67,3.794250132751465,0.1634,mean: 6.014924197018148,mean: 0.018690624999999995,1748899076.807552,2025/06/03 06:17:56,262.77268981933594,4.4m,228.09900212287903,197.55060958862305,4.029369115829468,,
68,68,3.788525379943848,0.1632,mean: 6.050962540900708,mean: 0.018624999999999996,1748899082.3329942,2025/06/03 06:18:02,268.298131942749,4.5m,232.96503353118896,200.5388879776001,4.0881640911102295,3.852713416290283,0.1266
69,69,3.7787101791381836,0.164,mean: 6.0785735876441,mean: 0.018649999999999996,1748899085.8410056,2025/06/03 06:18:05,271.806143283844,4.5m,235.91791939735413,203.4918897151947,4.148526668548584,,
70,70,3.7852597000122072,0.1682,mean: 6.12083087409735,mean: 0.018575,1748899089.2980635,2025/06/03 06:18:09,275.26320123672485,4.6m,238.9400155544281,206.5141007900238,4.210227727890015,,
71,71,3.769984599304199,0.1686,mean: 6.094245482856036,mean: 0.018699999999999998,1748899092.6431708,2025/06/03 06:18:12,278.6083085536957,4.6m,241.85137724876404,209.4255723953247,4.272480487823486,,
72,72,3.7653361431121826,0.1658,mean: 6.118346438097955,mean: 0.01875,1748899098.1299748,2025/06/03 06:18:18,284.09511256217957,4.7m,246.67108011245728,212.3236837387085,4.3327062129974365,3.855711171722412,0.1289
73,73,3.760213971710205,0.1672,mean: 6.155909476566315,mean: 0.018746874999999993,1748899101.5544739,2025/06/03 06:18:21,287.51961159706116,4.8m,249.5422670841217,215.1949815750122,4.392486810684204,,
74,74,3.75729181060791,0.1764,mean: 6.185626857268812,mean: 0.018546874999999994,1748899104.8961313,2025/06/03 06:18:24,290.8612689971924,4.8m,252.45236659049988,218.10518884658813,4.4540722370147705,,
75,75,3.740495972442627,0.1728,mean: 6.174404289621113,mean: 0.018621874999999996,1748899108.262745,2025/06/03 06:18:28,294.2278826236725,4.9m,255.38283610343933,221.03576922416687,4.515331029891968,,
76,76,3.7333649646759035,0.1744,mean: 6.207670080256462,mean: 0.018606249999999994,1748899113.7798812,2025/06/03 06:18:33,299.7450189590454,5.0m,260.2296302318573,223.9484899044037,4.575525760650635,3.827158009338379,0.1387
77,77,3.738283934020996,0.1724,mean: 6.270489709258078,mean: 0.018490624999999993,1748899117.2910619,2025/06/03 06:18:37,303.2561995983124,5.1m,263.18392634391785,226.90288972854614,4.63527774810791,,
78,78,3.7330154136657714,0.1754,mean: 6.269485193222763,mean: 0.0184875,1748899120.635682,2025/06/03 06:18:40,306.6008198261261,5.1m,266.0981059074402,229.81718134880066,4.695174932479858,,
79,79,3.7276653583526613,0.1772,mean: 6.311257768607143,mean: 0.01844375,1748899123.9602604,2025/06/03 06:18:43,309.9253981113434,5.2m,268.99102115631104,232.71020650863647,4.755957841873169,,
80,80,3.7157598701477053,0.1804,mean: 6.313980590546132,mean: 0.018659375,1748899129.36975,2025/06/03 06:18:49,315.3348877429962,5.3m,273.74035835266113,235.59449911117554,4.814180850982666,3.7347872245788576,0.1373
81,81,3.7073593479156495,0.181,mean: 6.349787452667949,mean: 0.01880624999999999,1748899132.8533282,2025/06/03 06:18:52,318.81846594810486,5.3m,276.66338539123535,238.51764583587646,4.873234748840332,,
82,82,3.692636755371094,0.1858,mean: 6.355611111092566,mean: 0.018743749999999993,1748899136.1723382,2025/06/03 06:18:56,322.1374759674072,5.4m,279.55544567108154,241.40981769561768,4.932249546051025,,
83,83,3.6865356761932375,0.1838,mean: 6.375890012192726,mean: 0.018549999999999997,1748899139.4876585,2025/06/03 06:18:59,325.4527962207794,5.4m,282.4429759979248,244.2974624633789,4.992243051528931,,
84,84,3.685125658416748,0.1828,mean: 6.432616158413888,mean: 0.018656250000000003,1748899144.915773,2025/06/03 06:19:04,330.8809106349945,5.5m,287.2079575061798,247.1953399181366,5.0517003536224365,3.7790937751770017,0.1332
85,85,3.676863875961304,0.1854,mean: 6.435943019711973,mean: 0.018371875,1748899148.3945255,2025/06/03 06:19:08,334.35966324806213,5.6m,290.1315426826477,250.1190366744995,5.111440658569336,,
86,86,3.673407843399048,0.1884,mean: 6.452981947541238,mean: 0.01840625,1748899151.6972365,2025/06/03 06:19:11,337.6623742580414,5.6m,293.0049407482147,252.99254369735718,5.170825242996216,,
87,87,3.659320140838623,0.1838,mean: 6.474940983903409,mean: 0.01855,1748899155.1082425,2025/06/03 06:19:15,341.0733802318573,5.7m,295.9690067768097,255.9567186832428,5.234316825866699,,
88,88,3.6713318935394286,0.1834,mean: 6.560462982165812,mean: 0.018462499999999993,1748899160.7414615,2025/06/03 06:19:20,346.70659923553467,5.8m,300.91805124282837,258.98617815971375,5.296282529830933,3.771611141204834,0.1304
89,89,3.65466153755188,0.1904,mean: 6.548473306769132,mean: 0.018649999999999996,1748899164.243913,2025/06/03 06:19:24,350.209050655365,5.8m,303.85853266716003,261.926771402359,5.355318069458008,,
90,90,3.6483779376983643,0.1914,mean: 6.5867689832568175,mean: 0.018550000000000004,1748899167.5948467,2025/06/03 06:19:27,353.5599844455719,5.9m,306.7784514427185,264.84679794311523,5.413959741592407,,
91,91,3.634344260406494,0.1922,mean: 6.589036415636541,mean: 0.018496875000000003,1748899170.9323905,2025/06/03 06:19:30,356.8975281715393,5.9m,309.6864426136017,267.75489926338196,5.472492694854736,,
92,92,3.630599905395508,0.1962,mean: 6.634035874867438,mean: 0.0186125,1748899176.328493,2025/06/03 06:19:36,362.29363083839417,6.0m,314.4241428375244,270.6203644275665,5.531957626342773,3.7497487476348876,0.1423
93,93,3.6209199222564696,0.1956,mean: 6.628375609302519,mean: 0.018440624999999995,1748899179.8192372,2025/06/03 06:19:39,365.7843749523163,6.1m,317.35493087768555,273.55126333236694,5.590942144393921,,
94,94,3.613846633911133,0.193,mean: 6.64467507343292,mean: 0.018443749999999995,1748899183.1623616,2025/06/03 06:19:43,369.1274993419647,6.2m,320.2678692340851,276.4643051624298,5.649352312088013,,
95,95,3.619172551727295,0.1988,mean: 6.709893819355964,mean: 0.0183375,1748899186.5484974,2025/06/03 06:19:46,372.5136351585388,6.2m,323.22007846832275,279.41662073135376,5.708421945571899,,
96,96,3.6140271701812745,0.1982,mean: 6.731105217701196,mean: 0.018453124999999994,1748899192.1923044,2025/06/03 06:19:52,378.1574420928955,6.3m,328.18072867393494,282.46194887161255,5.767766714096069,3.683655041885376,0.1368
97,97,3.595804479598999,0.1984,mean: 6.753677240371704,mean: 0.018528124999999996,1748899195.629972,2025/06/03 06:19:55,381.5951097011566,6.4m,331.06027245521545,285.34160113334656,5.8257904052734375,,
98,98,3.6012013206481934,0.1954,mean: 6.8082011176109285,mean: 0.018290624999999994,1748899199.0556564,2025/06/03 06:19:59,385.0207941532135,6.4m,334.05711579322815,288.3385634422302,5.884533882141113,,
99,99,3.5960433753967287,0.2006,mean: 6.820494575560092,mean: 0.018240624999999996,1748899202.449747,2025/06/03 06:20:02,388.4148848056793,6.5m,337.02120447158813,291.3027641773224,5.94323468208313,,
100,100,3.6119174564361574,0.1948,mean: 6.903102001023296,mean: 0.018284375000000002,1748899207.9642153,2025/06/03 06:20:07,393.9293529987335,6.6m,341.87781596183777,294.28695130348206,6.002536058425903,3.7326160648345947,0.155
